train_no,train_name,route_type,date,season,station,sched_arr,sched_dep,actual_arr,actual_dep,delay_min,causes
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,DHN,20:03,20:08,20:18,20:23,15.3,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,GAYA,22:23,22:28,22:36,22:41,13.3,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,DDU,00:08,00:18,00:18,00:28,10.3,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,CNB,04:33,04:38,04:33,04:38,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,NDLS,10:00,,10:00,,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,BRC,21:24,21:29,21:24,21:29,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,RTM,23:38,23:40,23:39,23:41,1.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,KOTA,02:00,02:05,02:00,02:05,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,NDLS,08:35,,08:35,,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-02,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-02,winter_fog,PNVL,08:12,08:15,08:13,08:16,0.8,
10103,Mandovi Express,single_line_coastal,2024-01-02,winter_fog,ROHA,09:23,09:25,09:24,09:26,0.9,
10103,Mandovi Express,single_line_coastal,2024-01-02,winter_fog,RN,13:05,13:10,13:05,13:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-02,winter_fog,MAO,18:10,,18:14,,3.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-02,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-02,winter_fog,UMB,09:40,09:42,09:54,09:56,14.3,temporary_speed_restriction
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-02,winter_fog,LDH,10:52,10:54,11:16,11:18,24.0,signal_halt
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-02,winter_fog,JUC,11:28,11:30,12:01,12:03,33.3,signal_halt
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-02,winter_fog,ASR,12:40,,13:04,,24.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,ASN,19:03,19:08,19:14,19:19,11.4,temporary_speed_restriction
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,DHN,20:03,20:08,20:11,20:16,7.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,GAYA,22:23,22:28,22:28,22:33,4.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,DDU,00:08,00:18,00:10,00:20,2.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,CNB,04:33,04:38,04:33,04:38,0.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,NDLS,10:00,,10:11,,10.9,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,BRC,21:24,21:29,21:25,21:30,0.6,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,RTM,23:38,23:40,23:38,23:40,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,KOTA,02:00,02:05,02:00,02:05,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-03,winter_fog,NDLS,08:35,,08:44,,8.8,
10103,Mandovi Express,single_line_coastal,2024-01-03,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-03,winter_fog,PNVL,08:12,08:15,08:13,08:16,0.5,
10103,Mandovi Express,single_line_coastal,2024-01-03,winter_fog,ROHA,09:23,09:25,09:24,09:26,1.0,
10103,Mandovi Express,single_line_coastal,2024-01-03,winter_fog,RN,13:05,13:10,13:05,13:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-03,winter_fog,MAO,18:10,,18:15,,5.4,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-03,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-03,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-03,winter_fog,LDH,10:52,10:54,10:58,11:00,6.1,chain_pulling_other
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-03,winter_fog,JUC,11:28,11:30,11:33,11:35,4.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-03,winter_fog,ASR,12:40,,12:44,,3.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,ASN,19:03,19:08,19:03,19:08,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,DHN,20:03,20:08,20:03,20:08,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,GAYA,22:23,22:28,22:37,22:42,13.8,congestion_preceding_train
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,DDU,00:08,00:18,00:16,00:26,8.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,CNB,04:33,04:38,04:37,04:42,4.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,NDLS,10:00,,10:10,,10.4,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,BRC,21:24,21:29,21:29,21:34,5.2,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,RTM,23:38,23:40,23:42,23:44,4.1,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,KOTA,02:00,02:05,02:05,02:10,4.6,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-04,winter_fog,NDLS,08:35,,08:35,,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-04,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-04,winter_fog,PNVL,08:12,08:15,08:30,08:33,17.8,weather
10103,Mandovi Express,single_line_coastal,2024-01-04,winter_fog,ROHA,09:23,09:25,09:36,09:38,12.7,
10103,Mandovi Express,single_line_coastal,2024-01-04,winter_fog,RN,13:05,13:10,13:21,13:26,15.8,chain_pulling_other
10103,Mandovi Express,single_line_coastal,2024-01-04,winter_fog,MAO,18:10,,18:27,,17.2,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-04,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-04,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-04,winter_fog,LDH,10:52,10:54,11:32,11:34,39.9,weather
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-04,winter_fog,JUC,11:28,11:30,12:06,12:08,38.2,chain_pulling_other
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-04,winter_fog,ASR,12:40,,13:09,,28.6,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,ASN,19:03,19:08,19:05,19:10,2.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,DHN,20:03,20:08,20:06,20:11,2.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,GAYA,22:23,22:28,22:25,22:30,1.7,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,DDU,00:08,00:18,00:08,00:18,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,CNB,04:33,04:38,04:40,04:45,7.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,NDLS,10:00,,10:16,,16.2,chain_pulling_other
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,BRC,21:24,21:29,21:44,21:49,19.5,temporary_speed_restriction
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,RTM,23:38,23:40,23:49,23:51,11.5,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,KOTA,02:00,02:05,02:07,02:12,6.6,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-05,winter_fog,NDLS,08:35,,08:56,,20.5,
10103,Mandovi Express,single_line_coastal,2024-01-05,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-05,winter_fog,PNVL,08:12,08:15,08:14,08:17,2.0,
10103,Mandovi Express,single_line_coastal,2024-01-05,winter_fog,ROHA,09:23,09:25,09:24,09:26,1.0,
10103,Mandovi Express,single_line_coastal,2024-01-05,winter_fog,RN,13:05,13:10,13:09,13:14,3.8,
10103,Mandovi Express,single_line_coastal,2024-01-05,winter_fog,MAO,18:10,,18:11,,1.3,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-05,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-05,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-05,winter_fog,LDH,10:52,10:54,10:52,10:54,0.5,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-05,winter_fog,JUC,11:28,11:30,11:28,11:30,0.1,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-05,winter_fog,ASR,12:40,,13:10,,29.6,congestion_preceding_train
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,ASN,19:03,19:08,19:18,19:23,14.5,congestion_preceding_train
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,DHN,20:03,20:08,20:11,20:16,8.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,GAYA,22:23,22:28,22:30,22:35,7.3,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,DDU,00:08,00:18,00:24,00:34,15.9,temporary_speed_restriction
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,CNB,04:33,04:38,04:34,04:39,0.7,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,NDLS,10:00,,10:11,,11.0,weather
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,BRC,21:24,21:29,21:24,21:29,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,RTM,23:38,23:40,23:52,23:54,14.3,signal_halt
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,KOTA,02:00,02:05,02:09,02:14,9.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-06,winter_fog,NDLS,08:35,,08:48,,13.2,
10103,Mandovi Express,single_line_coastal,2024-01-06,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-06,winter_fog,PNVL,08:12,08:15,08:14,08:17,2.0,
10103,Mandovi Express,single_line_coastal,2024-01-06,winter_fog,ROHA,09:23,09:25,09:26,09:28,3.1,
10103,Mandovi Express,single_line_coastal,2024-01-06,winter_fog,RN,13:05,13:10,13:05,13:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-06,winter_fog,MAO,18:10,,18:11,,0.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-06,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-06,winter_fog,UMB,09:40,09:42,09:55,09:57,15.2,temporary_speed_restriction
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-06,winter_fog,LDH,10:52,10:54,11:02,11:04,9.6,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-06,winter_fog,JUC,11:28,11:30,11:35,11:37,7.2,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-06,winter_fog,ASR,12:40,,13:15,,35.2,congestion_preceding_train
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,ASN,19:03,19:08,19:05,19:10,1.6,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,DHN,20:03,20:08,20:18,20:23,14.7,temporary_speed_restriction
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,GAYA,22:23,22:28,22:32,22:37,8.7,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,DDU,00:08,00:18,00:15,00:25,6.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,CNB,04:33,04:38,04:37,04:42,4.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,NDLS,10:00,,10:07,,7.2,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,BRC,21:24,21:29,21:24,21:29,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,RTM,23:38,23:40,23:38,23:40,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,KOTA,02:00,02:05,02:03,02:08,3.1,temporary_speed_restriction
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-07,winter_fog,NDLS,08:35,,08:35,,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-07,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-07,winter_fog,PNVL,08:12,08:15,08:16,08:19,4.1,
10103,Mandovi Express,single_line_coastal,2024-01-07,winter_fog,ROHA,09:23,09:25,09:25,09:27,2.3,
10103,Mandovi Express,single_line_coastal,2024-01-07,winter_fog,RN,13:05,13:10,13:13,13:18,7.9,
10103,Mandovi Express,single_line_coastal,2024-01-07,winter_fog,MAO,18:10,,18:12,,1.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-07,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-07,winter_fog,UMB,09:40,09:42,09:40,09:42,0.5,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-07,winter_fog,LDH,10:52,10:54,10:53,10:55,1.3,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-07,winter_fog,JUC,11:28,11:30,11:29,11:31,1.4,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-07,winter_fog,ASR,12:40,,12:40,,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,ASN,19:03,19:08,19:07,19:12,4.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,DHN,20:03,20:08,20:07,20:12,3.5,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,GAYA,22:23,22:28,22:36,22:41,12.8,chain_pulling_other
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,DDU,00:08,00:18,00:16,00:26,8.1,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,CNB,04:33,04:38,04:39,04:44,5.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,NDLS,10:00,,10:09,,9.3,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,BRC,21:24,21:29,21:33,21:38,9.1,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,RTM,23:38,23:40,23:43,23:45,5.2,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,KOTA,02:00,02:05,02:00,02:05,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-08,winter_fog,NDLS,08:35,,08:35,,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-08,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-08,winter_fog,PNVL,08:12,08:15,08:12,08:15,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-08,winter_fog,ROHA,09:23,09:25,09:23,09:25,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-08,winter_fog,RN,13:05,13:10,13:05,13:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-08,winter_fog,MAO,18:10,,18:10,,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-08,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-08,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-08,winter_fog,LDH,10:52,10:54,10:53,10:55,1.3,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-08,winter_fog,JUC,11:28,11:30,11:30,11:32,1.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-08,winter_fog,ASR,12:40,,13:03,,23.5,weather
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,ASN,19:03,19:08,19:04,19:09,0.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,DHN,20:03,20:08,20:03,20:08,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,GAYA,22:23,22:28,22:25,22:30,1.6,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,DDU,00:08,00:18,00:22,00:32,13.6,congestion_preceding_train
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,CNB,04:33,04:38,04:38,04:43,5.4,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,NDLS,10:00,,10:09,,9.0,signal_halt
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,BRC,21:24,21:29,21:25,21:30,0.5,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,RTM,23:38,23:40,23:43,23:45,5.3,chain_pulling_other
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,KOTA,02:00,02:05,02:09,02:14,9.2,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-09,winter_fog,NDLS,08:35,,08:44,,9.3,chain_pulling_other
10103,Mandovi Express,single_line_coastal,2024-01-09,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-09,winter_fog,PNVL,08:12,08:15,08:17,08:20,5.2,congestion_preceding_train
10103,Mandovi Express,single_line_coastal,2024-01-09,winter_fog,ROHA,09:23,09:25,09:25,09:27,2.2,
10103,Mandovi Express,single_line_coastal,2024-01-09,winter_fog,RN,13:05,13:10,13:13,13:18,8.3,
10103,Mandovi Express,single_line_coastal,2024-01-09,winter_fog,MAO,18:10,,18:10,,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-09,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-09,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-09,winter_fog,LDH,10:52,10:54,10:52,10:54,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-09,winter_fog,JUC,11:28,11:30,11:28,11:30,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-09,winter_fog,ASR,12:40,,12:50,,9.8,signal_halt
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,ASN,19:03,19:08,19:04,19:09,0.8,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,DHN,20:03,20:08,20:05,20:10,2.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,GAYA,22:23,22:28,22:29,22:34,6.1,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,DDU,00:08,00:18,00:16,00:26,7.7,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,CNB,04:33,04:38,04:57,05:02,23.8,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,NDLS,10:00,,10:07,,6.7,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,BRC,21:24,21:29,21:24,21:29,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,RTM,23:38,23:40,23:44,23:46,6.0,signal_halt
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,KOTA,02:00,02:05,02:08,02:13,8.3,chain_pulling_other
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-10,winter_fog,NDLS,08:35,,09:07,,32.4,
10103,Mandovi Express,single_line_coastal,2024-01-10,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-10,winter_fog,PNVL,08:12,08:15,08:28,08:31,15.6,weather
10103,Mandovi Express,single_line_coastal,2024-01-10,winter_fog,ROHA,09:23,09:25,09:54,09:56,31.4,congestion_preceding_train
10103,Mandovi Express,single_line_coastal,2024-01-10,winter_fog,RN,13:05,13:10,13:32,13:37,26.9,
10103,Mandovi Express,single_line_coastal,2024-01-10,winter_fog,MAO,18:10,,18:27,,16.7,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-10,winter_fog,NDLS,,07:20,,07:20,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-10,winter_fog,UMB,09:40,09:42,09:40,09:42,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-10,winter_fog,LDH,10:52,10:54,10:52,10:54,0.3,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-10,winter_fog,JUC,11:28,11:30,11:28,11:30,0.0,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-10,winter_fog,ASR,12:40,,12:41,,1.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,ASN,19:03,19:08,19:03,19:08,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,DHN,20:03,20:08,20:04,20:09,1.2,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,GAYA,22:23,22:28,22:28,22:33,4.9,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,DDU,00:08,00:18,00:12,00:22,4.5,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,CNB,04:33,04:38,04:38,04:43,4.8,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,NDLS,10:00,,10:11,,10.7,chain_pulling_other
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-11,winter_fog,BCT,,17:00,,17:00,0.0,
